,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.9373776908023483,0.817351598173516
1,2,50,0.9804305283757339,0.817351598173516
2,2,75,0.9706457925636007,0.8082191780821918
3,2,100,0.974559686888454,0.8310502283105022
4,2,150,1.0,0.8356164383561644
5,2,200,1.0,0.8310502283105022
6,3,25,1.0,0.8493150684931506
7,3,50,1.0,0.817351598173516
8,3,75,1.0,0.8493150684931506
9,3,100,1.0,0.8401826484018264
10,3,150,1.0,0.8584474885844748
11,3,200,1.0,0.8493150684931506
12,4,25,1.0,0.8584474885844748
13,4,50,1.0,0.8538812785388128
14,4,75,1.0,0.8401826484018264
15,4,100,1.0,0.8538812785388128
16,4,150,1.0,0.863013698630137
17,4,200,1.0,0.8538812785388128
18,5,25,1.0,0.8310502283105022
19,5,50,1.0,0.8310502283105022
20,5,75,1.0,0.8538812785388128
21,5,100,1.0,0.8401826484018264
22,5,150,1.0,0.8812785388127854
23,5,200,1.0,0.8447488584474886
24,6,25,1.0,0.8447488584474886
25,6,50,1.0,0.8493150684931506
26,6,75,1.0,0.867579908675799
27,6,100,1.0,0.8538812785388128
28,6,150,1.0,0.8493150684931506
29,6,200,1.0,0.8447488584474886
30,7,25,1.0,0.8447488584474886
31,7,50,1.0,0.8584474885844748
32,7,75,1.0,0.8584474885844748
33,7,100,1.0,0.8584474885844748
34,7,150,1.0,0.8447488584474886
35,7,200,1.0,0.8493150684931506
36,8,25,1.0,0.8447488584474886
37,8,50,1.0,0.8493150684931506
38,8,75,1.0,0.8447488584474886
39,8,100,1.0,0.8493150684931506
40,8,150,1.0,0.8493150684931506
41,8,200,1.0,0.8447488584474886
42,9,25,0.9980430528375733,0.776255707762557
43,9,50,0.9980430528375733,0.7899543378995434
44,9,75,0.9980430528375733,0.7853881278538812
45,9,100,0.9980430528375733,0.7853881278538812
46,9,150,0.9980430528375733,0.7899543378995434
47,9,200,0.9980430528375733,0.7899543378995434
48,10,25,1.0,0.8447488584474886
49,10,50,1.0,0.8493150684931506
50,10,75,1.0,0.8356164383561644
51,10,100,1.0,0.8447488584474886
52,10,150,1.0,0.8356164383561644
53,10,200,1.0,0.8447488584474886
